***************************** RESULTS *****************************
NODE: 214328887	CLOSENESS-CENTRALITY: 0.276386
NODE: 34428380	CLOSENESS-CENTRALITY: 0.323043
NODE: 17116707	CLOSENESS-CENTRALITY: 0.261705
NODE: 28465635	CLOSENESS-CENTRALITY: 0.281449
NODE: 380580781	CLOSENESS-CENTRALITY: 0.273351
NODE: 18996905	CLOSENESS-CENTRALITY: 0.313751
NODE: 221036078	CLOSENESS-CENTRALITY: 0.263521
NODE: 153460275	CLOSENESS-CENTRALITY: 0.262864
NODE: 107830991	CLOSENESS-CENTRALITY: 0.280812
NODE: 17868918	CLOSENESS-CENTRALITY: 0.300946
NODE: 151338729	CLOSENESS-CENTRALITY: 0.288823
NODE: 222261763	CLOSENESS-CENTRALITY: 0.295114
NODE: 19705747	CLOSENESS-CENTRALITY: 0.307730
NODE: 88323281	CLOSENESS-CENTRALITY: 0.272795
NODE: 19933035	CLOSENESS-CENTRALITY: 0.260684
NODE: 149538028	CLOSENESS-CENTRALITY: 0.271482
NODE: 158419434	CLOSENESS-CENTRALITY: 0.298900
NODE: 17434613	CLOSENESS-CENTRALITY: 0.262751
NODE: 153226312	CLOSENESS-CENTRALITY: 0.288416
NODE: 364971269	CLOSENESS-CENTRALITY: 0.283105
NODE: 100581193	CLOSENESS-CENTRALITY: 0.276101
NODE: 279787626	CLOSENESS-CENTRALITY: 0.275634
NODE: 113058991	CLOSENESS-CENTRALITY: 0.289577
NODE: 69592091	CLOSENESS-CENTRALITY: 0.288709
NODE: 187773078	CLOSENESS-CENTRALITY: 0.273024
NODE: 406628822	CLOSENESS-CENTRALITY: 0.269813
NODE: 262802533	CLOSENESS-CENTRALITY: 0.276973
NODE: 460282402	CLOSENESS-CENTRALITY: 0.263008
NODE: 280935165	CLOSENESS-CENTRALITY: 0.284302
NODE: 437804658	CLOSENESS-CENTRALITY: 0.261127
NODE: 27633075	CLOSENESS-CENTRALITY: 0.288061
NODE: 285312927	CLOSENESS-CENTRALITY: 0.265001
NODE: 131613362	CLOSENESS-CENTRALITY: 0.266853
NODE: 17675120	CLOSENESS-CENTRALITY: 0.253961
NODE: 394263193	CLOSENESS-CENTRALITY: 0.278750
NODE: 254839786	CLOSENESS-CENTRALITY: 0.274710
NODE: 204317520	CLOSENESS-CENTRALITY: 0.286908
NODE: 21548772	CLOSENESS-CENTRALITY: 0.279372
NODE: 67864340	CLOSENESS-CENTRALITY: 0.280271
NODE: 172883064	CLOSENESS-CENTRALITY: 0.302423
NODE: 270449528	CLOSENESS-CENTRALITY: 0.283881
